name,days_hours_open,site,phone,email,address,category,latitude,longitude
"Dance Cultural Centre - Athens, Greece | Facebook","","http://dancce.gr/","21 0523 0582","","76 Pireos st., Keramikos, 10435 Athens, Greece","Arts and Entertainment","37.980268107972","23.718763979896"
"BLAST Athens ","","http://instagram.com/blastdanceclub","694 755 8593","","Evmolpidon 11, 118 54 Athens, Greece","Arts and Entertainment","37.979204456866","23.713680803776"
"Black & White Ink ","Wednesday 12 PM - 9 PM\
Thursday 12 PM - 9 PM\
Friday 12 PM - 9 PM\
Saturday 12 PM - 9 PM\
Sunday 12 PM - 9 PM\
Monday 12 PM - 9 PM\
Tuesday CLOSED\
","","21 0864 5000","","fokionos negri 13a, 11361 Athens, Greece","Arts and Entertainment","38.00082","23.73459"
"Athinais Cultural Center ","","http://www.athinais.com.gr/","21 0348 0000","","kastorias 34-36, 104 47 Athens, Greece","Arts and Entertainment","37.983421941187","23.710519305243"
"FokiaNou Art Space - Arts & Entertainment - Athens, Greece | Facebook - 26 Reviews - 3,257 Photos","Wednesday 5 PM - 8 PM\
Thursday 5 PM - 8 PM\
Friday CLOSED\
Saturday 5 PM - 8 PM\
Sunday 5 PM - 8 PM\
Monday 5 PM - 8 PM\
Tuesday CLOSED\
","http://www.fokianou247.gr/","","","Fokianou 24 (7th Floor), 116 35 Athens, Greece","Arts and Entertainment","37.97122922815","23.742527961731"
"133 Studio ","Wednesday 10 AM - 2 AM\
Thursday 10 AM - 2 AM\
Friday 10 AM - 2 AM\
Saturday 10 AM - 2 AM\
Sunday 10 AM - 2 AM\
Monday 10 AM - 2 AM\
Tuesday 10 AM - 2 AM\
","http://www.133studio.gr/","21 0995 0283","","133 Sofokli Venizelou Avenue, 16343 Athens, Greece","Arts and Entertainment","37.934162837","23.761766815"
"The Benaki Museum ","","http://www.benaki.org/","21 0367 1000","","","Arts and Entertainment",\N,\N
"depotgallery.gr - Art Gallery - Athens, Greece | Facebook - 294 Photos","Wednesday 12 AM - 8 AM\
Thursday 12 AM - 8 AM\
Friday 12 AM - 8 AM, 2 PM - 9 PM\
Saturday 2 PM - 8 AM\
Sunday 2 PM - 8 PM\
Monday 11 AM - 3 PM\
Tuesday CLOSED\
","http://depotgallery.gr/","","","","Arts and Entertainment",\N,\N
"Engraved Circus Tattoo Parlour ","Wednesday 11 AM - 8 PM\
Thursday 11 AM - 8 PM\
Friday 11 AM - 8 PM\
Saturday 11 AM - 8 PM\
Sunday 11 AM - 8 PM\
Monday 11 AM - 5 PM\
Tuesday CLOSED\
","https://www.youtube.com/user/LooP1974/","21 1405 0977","info@circus-tattoo.com","147 Papagou Alex., 157 73 Athens, Greece","Arts and Entertainment","37.97624","23.77677"
"Catedral Estudio De Tango ","","http://www.catedral.gr/","21 0674 7431","","Mesogeion 57, Athens, 115 26 Athens, Greece","Arts and Entertainment","37.98769","23.76604"
"Rhythm Records ","Wednesday 10:30 AM - 3 PM\
Thursday 10:30 AM - 3 PM\
Friday 10:30 AM - 3 PM\
Saturday 10:30 AM - 8 PM\
Sunday 10:30 AM - 8 PM\
Monday 10:30 AM - 3:30 PM\
Tuesday CLOSED\
","http://rhythmrecords.gr/","21 0384 1550","","Benaki Emmanouil  74, Exarhia, 10681 Athens, Greece","Arts and Entertainment","37.985732843122","23.735184073448"
"Libertango Dance Studio ","Wednesday 6 PM - 11 PM\
Thursday 6 PM - 11 PM\
Friday 6 PM - 11 PM\
Saturday 6 PM - 11 PM\
Sunday 6 PM - 11 PM\
Monday CLOSED\
Tuesday CLOSED\
","http://www.libertango.gr/","21 0921 4404","","106, Dimitrakopoulou str., 11741 Athens, Greece","Arts and Entertainment","37.9629199","23.72139"
"Minnie the Moocher ","Wednesday 11 AM - 2 AM\
Thursday 11 AM - 2 AM\
Friday 11 AM - 2 AM\
Saturday 11 AM - 2 AM\
Sunday 11 AM - 3 AM\
Monday 11 AM - 3 AM\
Tuesday 11 AM - 2 AM\
","https://minniethemoocher.business.site/","21 0364 1686","","Tsakalof 6, 10673 Athens, Greece","Arts and Entertainment","37.97785","23.74086"
"Genesis Gallery ","Wednesday 11:30 AM - 9:30 AM\
Thursday 11:30 AM - 9:30 AM\
Friday 11:30 AM - 3 PM\
Saturday 11:30 AM - 9:30 AM\
Sunday 11:30 AM - 9:30 AM\
Monday 11:30 AM - 3:30 PM\
Tuesday CLOSED\
","http://www.gallerygenesisathens.com/","21 1710 0566","","35 Haritos Str, 10675 Athens, Greece","Arts and Entertainment","37.97862","23.74454"
"Neon Raum - Shopping & Retail - Athens, Greece | Facebook - 63 Reviews - 2,395 Photos","Wednesday 12 PM - 5 PM\
Thursday 12 PM - 5 PM\
Friday 12 PM - 5 PM\
Saturday 12 PM - 8 PM\
Sunday 12 PM - 8 PM\
Monday 12 PM - 5 PM\
Tuesday CLOSED\
","http://www.neonraum.com/","21 3030 9860","","LEOHAROUS 17, 10560 Athens, Greece","Arts and Entertainment","37.97866","23.72986"
"Toyroom Athens ","Wednesday 9 AM - 5 AM\
Thursday 9 AM - 5 AM\
Friday CLOSED\
Saturday 9 AM - 5 AM\
Sunday 11:30 PM - 5 AM\
Monday 11:30 PM - 5 AM\
Tuesday CLOSED\
","http://toyroomathens.com/","694 438 5959","","Panepistimiou 10, 10564 Athens, Greece","Arts and Entertainment","37.977745638323","23.735575675964"
"The CROW CLUB","","http://thecrowclubathens.wixsite.com/crowclubathens","","","The CROW CLUB","Arts and Entertainment",\N,\N
"The Gutter ","","","21 3029 4823","","irakleidon 7, 11851 Athens, Greece","Arts and Entertainment","37.97525","23.71819"
"Hoxton ","","","21 0341 3395","","Voutadon 42 Gazi, 11854 Athens, Greece","Arts and Entertainment","37.978916554299","23.711583042518"
"Chili Art Gallery ","Wednesday 11 AM - 6 PM\
Thursday 11 AM - 6 PM\
Friday 11 AM - 6 PM\
Saturday 11 AM - 6 PM\
Sunday 11 AM - 6 PM\
Monday 11 AM - 3 PM\
Tuesday CLOSED\
","http://chiliart.gr/","21 0729 2564","","13 - 15 Dimofontos str, 11851 Athens, Greece","Arts and Entertainment","37.97588","23.71523"
"Underflow Record Store & Art Gallery ","Wednesday 11 AM - 9 PM\
Thursday 11 AM - 9 PM\
Friday 11 AM - 9 PM\
Saturday 11 AM - 9 PM\
Sunday 11 AM - 9 PM\
Monday 11 AM - 4 PM\
Tuesday CLOSED\
","https://www.instagram.com/underflowathens/","21 1403 9926","","Kallirois 39, 117 43 Athens, Greece","Arts and Entertainment","37.9645","23.7277"
"Comicdom ","","http://www.comicdom.gr/","","","Massalias 22, Athens, Greece","Arts and Entertainment","37.9816362","23.7371778"
"Artistic Studio ORIENTAL EXPRESSION ","Wednesday 11 AM - 2 PM\
Thursday 11 AM - 2 PM\
Friday 11 AM - 2 PM, 5 PM - 10 PM\
Saturday 11 AM - 2 PM, 5 PM - 10 PM\
Sunday 11 AM - 2 PM, 5 PM - 10 PM\
Monday 11:30 AM - 5:30 PM\
Tuesday CLOSED\
","http://www.orientalexpression.gr/","21 0973 5888","","Antiopis 31, 17343 Athens, Greece","Arts and Entertainment","37.946071558975","23.736031651497"
"It The Place - 1,572 Photos - 138 Reviews - Arts & Entertainment - ","Wednesday 11 PM - 7 AM\
Thursday 11 PM - 7 AM\
Friday CLOSED\
Saturday CLOSED\
Sunday 11 PM - 7 AM\
Monday 11 PM - 7 AM\
Tuesday CLOSED\
","","","","","Arts and Entertainment",\N,\N
