title,title_en,website,phone,address,address_en,email,coords
"Ακρόπολη","Acropolis","http://odysseus.culture.gr/h/3/gh355.jsp?obj_id=2384",\N,\N,\N,\N,"37.9715323, 23.7257492"
"Αναφιώτικα","Anafiotika","https://el.wikipedia.org/wiki/%CE%91%CE%BD%CE%B1%CF%86%CE%B9%CF%8E%CF%84%CE%B9%CE%BA%CE%B1",\N,"Αθήνα 105 58,  Ελλάδα",\N,\N,"37.9723819, 23.7281127"
"Λόφος Φιλοπάππου ","Philopappos Hill","http://el.wikipedia.org/wiki/%CE%9B%CF%8C%CF%86%CE%BF%CF%82_%CE%A6%CE%B9%CE%BB%CE%BF%CF%80%CE%AC%CF%80%CF%80%CE%BF%CF%85",\N,"Αθήνα 105 55,  Ελλάδα ",\N,"","37.96735, 23.7214203"
"Αρχαία Αγορά Αθηνών ","Ancient Agora of Athens",\N,\N,"Αδριανού 24 Αθήνα 105 55,  Ελλάδα ",\N,\N,"37.9746507, 23.7219716"
"Ωδείο Ηρώδου Αττικού ","Herod Atticus Odeon","http://odysseus.culture.gr/h/1/gh151.jsp?obj_id=6622",\N,"Διονυσίου Αρεοπαγίτου Αθήνα,  Ελλάδα ",\N,\N,"37.9707948, 23.7245831"
"Καλλιμάρμαρο Παναθηναϊκό Στάδιο","Kalimarmaro Panathenaic Stadium","http://www.panathenaicstadium.gr/",\N,"Λεωφ. Βασιλέως Κωνσταντίνου, Αθήνα 116 35",\N,\N,"37.9683342, 23.7411118"
"Λυκαβηττός","Mount Lycabettus","https://www.lycabettushill.com/",\N,"Αθήνα,  Ελλάδα",\N,\N,"37.98180807760851, 23.743050225718445"
"Εθνικό Αρχαιολογικό Μουσείο","National Archaeological Museum","https://www.all4nam.com/",\N,\N,\N,\N,"37.9890229, 23.7327599"
"Μουσείο Ακρόπολης ","Acropolis Museum","http://www.theacropolismuseum.gr/",\N,"Διονυσίου Αρεοπαγίτου 15 Αθήνα 117 42,  Ελλάδα ",\N,\N,"37.9684499, 23.7285227"
"Άρειος Πάγος ","Areopagus","http://www.sacred-destinations.com/greece/athens-areopagus-mars-hill",\N,"Ακρόπολης Αθήνα 105 58,  Ελλάδα ",\N,"","37.9723434, 23.7233713"
"Βυζαντινό και Χριστιανικό Μουσείο ","Byzantine and Christian Museum","http://www.byzantinemuseum.gr/",\N,"",\N,"info@byzantinemuseum.gr","37.9754096, 23.7445869"
"Πολεμικό Μουσείο ","War Museum",\N,\N,"",\N,\N,"37.9753688, 23.7453708"
"ΕΛΛΗΝΙΚΟ ΜΟΥΣΕΙΟ ΑΥΤΟΚΙΝΗΤΟΥ ","Hellenic Motor Museum","http://www.hellenicmotormuseum.gr/",\N,"",\N,"","37.9914349, 23.7299098"
"Κεντρική Αγορά της Αθήνας (Βαρβάκειος) ","Central Market",\N,\N,"",\N,\N,"37.9804035, 23.7274534"
