grTitle,enTitle,longitude,latitude
"Ανακτορικό συγκρότημα Γαλέριου","Palatial complex of Galerius","22.949315","40.630335"
"Μικρό θέατρο Αμβρακίας","Small theatre of Ambracia","20.983605","39.161017"
"Αρχοντικό Σαράφογλου","Sarafoglou Mansion (Folk-Art Museum of Veria)","22.203519","40.521615"
"Βαλιδέ Τζαμί Μυτιλήνης","Valide Djami in Mytilene","26.554888","39.111353"
"Βωμός Διονύσου","Altar of Dionysos","27.289739","36.891053"
"Μινωική έπαυλη Νίρου Χάνι","Minoan villa at Nirou Chani","25.259457","35.331615"
"Τρενάκι Πηλίου Βόλος - Μηλιές Μαγνησίας","Train of Pelion","23.054399","39.325308"
"Ναός της Ήρας στην Ολυμπία","Temple of Ηera at Olympia","21.629867","37.638855"
"Ναός του Δία στην Ολυμπία","Temple of Zeus at Olympia","21.630221","37.637926"
"Αρχαίο στάδιο Ολυμπίας","Ancient stadium of Olympia","21.633263","37.639273"
"Εργαστήριο του Φειδία","Workshop of Pheidias","21.628738","37.637756"
"Στοά της Ηχούς","Echo hall","21.631616","37.63851"
"Ναός της Αφαίας","Temple of Aphaia","23.533109","37.754387"
"Λεωνιδαίο","Leonidaion","21.629151","37.637055"
"Παλαίστρα Ολυμπίας","Palaestra of Olympia","21.628625","37.638513"
"Φιλιππείο","Philippeion","21.629352","37.638702"
"Ηραίον Σάμου","Heraion of Samos","26.885691","37.671822"
"Αρχαίο γυμνάσιο Ολυμπίας","Ancient gymnasium of Olympia","21.628711","37.639154"
"Ακαδημία Αθηνών","Academy of Athens","23.734025","37.980097"
"Αμαράντειος Σχολή Ρόδου","Amaranteios School of Rhodes","28.22091","36.450682"
"Ανάγλυφο του Μίθρα Ταυροκτόνου στις Θέρμες","Relief of Mithras Tauroctonos (Mithras the Bull-slayer) at Thermes","24.99226","41.350816"
"Ανάκτορο Kνωσού","Palace of Knossos","25.1631","35.297781"
"Ανάκτορο Φαιστού","Palace of Phaistos","24.814682","35.050655"
"Αρχαίο θέατρο Άργους","Ancient Theatre of Argos","22.719544","37.631605"
"Θέατρο Αρχαίας Πόλεως Επιδαύρου","Theatre of Ancient Epidaurus","23.1601","37.6334"
"Αρχαίο θέατρο Ερέτριας","Ancient Theatre of Eretria","23.790615","38.399275"
"Θέατρο Κοπανού Ημαθίας","Theatre at Kopanos (Emathia)","22.129658","40.635157"
