name_gr,name_en,categories,address,phone,url
"Ακρόπολη ","Acropolis","Μνημεία και αξιοθέατα Ιστορικές τοποθεσίες Αρχαία ερείπια ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html"
"Αναφιώτικα ","Anafiotika","Μνημεία και αξιοθέατα Γειτονιές ","Αθήνα 105 58,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d524609-Reviews-Anafiotika-Athens_Attica.html"
"Ναός του Ηφαίστου ","Temple of Hephaestus","Μνημεία και αξιοθέατα Αρχαία ερείπια Θρησκευτικές τοποθεσίες και ιεροί χώροι ","Adριανού 24 Αρχαία Αγορά Αθηνών Αθήνα 105 55,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d1064133-Reviews-Temple_of_Hephaestus-Athens_Attica.html"
"Λόφος Φιλοπάππου ","Philopappos Hill","Φύση και πάρκα Μνημεία και αξιοθέατα ","Αθήνα 105 55,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d523835-Reviews-Philopappos_Hill-Athens_Attica.html"
"Αρχαία Αγορά Αθηνών ","Ancient Agora of Athens","Μνημεία και αξιοθέατα Αρχαία ερείπια ","Αδριανού 24 Αθήνα 105 55,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d198709-Reviews-Ancient_Agora_of_Athens-Athens_Attica.html"
"Ωδείο Ηρώδου Αττικού ","Herod Atticus Odeon","Μνημεία και αξιοθέατα Συναυλίες και παραστάσεις ","Διονυσίου Αρεοπαγίτου Αθήνα,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d242840-Reviews-Herod_Atticus_Odeon-Athens_Attica.html"
"Παναθηναϊκό Στάδιο ","Panathenaic Stadium","Μνημεία και αξιοθέατα Κλειστά γήπεδα και στάδια ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d245991-Reviews-Panathenaic_Stadium-Athens_Attica.html"
"Λυκαβηττός ","Mount Lycabettus","Μνημεία και αξιοθέατα Φύση και πάρκα ","Αθήνα,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d245989-Reviews-Mount_Lycabettus-Athens_Attica.html"
"Πλάκα ","Plaka","Μνημεία και αξιοθέατα Γειτονιές ","Αθήνα 10556,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d277449-Reviews-Plaka-Athens_Attica.html"
"Παρθενώνας ","Parthenon","Μνημεία και αξιοθέατα Ιστορικές τοποθεσίες ","Ακρόπολη Στην κορυφή του Διονυσίου Αρεοπαγίτου Αθήνα 105 58,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d198711-Reviews-Parthenon-Athens_Attica.html"
"Εθνικό Αρχαιολογικό Μουσείο ","National Archaeological Museum","Μουσεία Μουσεία τέχνης Μουσεία ιστορίας ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d198713-Reviews-National_Archaeological_Museum-Athens_Attica.html"
"Μουσείο Ακρόπολης ","Acropolis Museum","Μουσεία Μουσεία ιστορίας ","Διονυσίου Αρεοπαγίτου 15 Αθήνα 117 42,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d735521-Reviews-Acropolis_Museum-Athens_Attica.html"
"Άρειος Πάγος ","Areopagus","Φύση και πάρκα Μνημεία και αξιοθέατα ","Ακρόπολης Αθήνα 105 58,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d1064131-Reviews-Areopagus-Athens_Attica.html"
"Βυζαντινό και Χριστιανικό Μουσείο ","Byzantine and Christian Museum","Μουσεία Μουσεία ιστορίας ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d242815-Reviews-Byzantine_and_Christian_Museum-Athens_Attica.html"
"Πολεμικό Μουσείο ","War Museum","Μουσεία Εξειδικευμένα μουσεία ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d498309-Reviews-War_Museum-Athens_Attica.html"
"ΕΛΛΗΝΙΚΟ ΜΟΥΣΕΙΟ ΑΥΤΟΚΙΝΗΤΟΥ ","Hellenic Motor Museum","Μουσεία Εξειδικευμένα μουσεία ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d2665638-Reviews-Hellenic_Motor_Museum-Athens_Attica.html"
"Κεντρική Αγορά της Αθήνας (Βαρβάκειος) ","Central Market","Ψώνια Υπαίθριες και λαϊκές αγορές ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d566808-Reviews-Central_Market-Athens_Attica.html"
"Μουσείο της Αρχαίας Αγοράς ","Museum of the Ancient Agora","Μουσεία Μουσεία ιστορίας ","Αδριανού 24 Αθήνα 105 55,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d3672094-Reviews-Museum_of_the_Ancient_Agora-Athens_Attica.html"
"Ψυρρή ","Psirri","Μνημεία και αξιοθέατα Γειτονιές ","Αθήνα,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d198777-Reviews-Psirri-Athens_Attica.html"
"Πλατεία Συντάγματος ","Plateia Syntagmatos","Μνημεία και αξιοθέατα Μνημεία και σημεία ενδιαφέροντος ","Λεωφόρος Βασιλίσσης Αμαλίας Αθήνα 105 63,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d245992-Reviews-Plateia_Syntagmatos-Athens_Attica.html"
"Μουσείο Αρχαίας Ελληνικής Τεχνολογίας Κώστα Κοτσανά ","Kotsanas Museum of Ancient Greek Technology","Μουσεία Εξειδικευμένα μουσεία ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d13492914-Reviews-Kotsanas_Museum_of_Ancient_Greek_Technology-Athens_Attica.html"
"Εθνικός Κήπος ","National Garden","Φύση και πάρκα Κήποι ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d246658-Reviews-National_Garden-Athens_Attica.html"
"Ναός της Αθηνάς Νίκης ","Temple of Athena Nike","Μνημεία και αξιοθέατα Αρχαία ερείπια Μνημεία και αγάλματα ","Acropolis, Dionysiou Areopagitou Ακρόπολη Αθήνα 10558,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d246659-Reviews-Temple_of_Athena_Nike-Athens_Attica.html"
"Θέατρο Διονύσου ","Theater of Dionysus","Μνημεία και αξιοθέατα Αρχαία ερείπια ","Μιτσαίων 25 Αθήνα 105 58,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d241083-Reviews-Theater_of_Dionysus-Athens_Attica.html"
"Ναός του Ολυμπίου Διός ","Temple of Olympian Zeus","Μνημεία και αξιοθέατα Μνημεία και αγάλματα Αρχαία ερείπια ","Λεωφόρος Βασιλίσσης Όλγας & Λεωφόρος Αμαλίας Αθήνα 105 57,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d242844-Reviews-Temple_of_Olympian_Zeus-Athens_Attica.html"
"Ἐρέχθειον ","Erechtheion","Μνημεία και αξιοθέατα Αρχαία ερείπια ","Ακρόπολη Αθήνα 10558,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d246656-Reviews-Erechtheion-Athens_Attica.html"
"Μοναστηράκι ","Monastiraki","Μνημεία και αξιοθέατα Γειτονιές ","Αθήνα,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d265865-Reviews-Monastiraki-Athens_Attica.html"
"Μουσείο Κυκλαδικής Τέχνης ","Museum of Cycladic Art","Μουσεία Μουσεία τέχνης ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d198712-Reviews-Museum_of_Cycladic_Art-Athens_Attica.html"
